Genre Name,Total Amount,Number of Customers
Rock,826.650000000006,216
Latin,382.140000000002,117
Metal,261.360000000001,96
Alternative & Punk,241.560000000001,93
TV Shows,93.5299999999999,19
Jazz,79.2,41
Blues,60.39,27
Drama,57.71,14
Classical,40.59,15
R&B/Soul,40.59,18
Sci Fi & Fantasy,39.8,10
Reggae,29.7,13
Pop,27.72,13
Soundtrack,19.8,12
Comedy,17.91,5
Hip Hop/Rap,16.83,9
Bossa Nova,14.85,7
Alternative,13.86,4
World,12.87,9
Science Fiction,11.94,4
Electronica/Dance,11.88,7
Heavy Metal,11.88,5
Easy Listening,9.9,4
Rock And Roll,5.94,4
